1;Mou gaan dou;01.03.2021 08:00:00;01.03.2021 09:00:00;2;7;20;60;
2;Casino;01.03.2021 09:00:00;01.03.2021 10:30:00;4;23;30;90;
3;Requiem for a Dream;01.03.2021 10:30:00;01.03.2021 11:30:00;6;47;30;60;
4;Le salaire de la peur;01.03.2021 11:30:00;01.03.2021 14:00:00;7;29;20;150;
5;12 Angry Men;01.03.2021 14:00:00;01.03.2021 15:30:00;9;42;50;90;
6;Ed Wood;01.03.2021 15:30:00;01.03.2021 18:00:00;1;14;50;150;
7;The Shining;02.03.2021 08:00:00;02.03.2021 10:00:00;6;50;20;120;
8;Metropolis;02.03.2021 10:00:00;02.03.2021 12:00:00;3;46;50;120;
9;Braveheart;02.03.2021 12:00:00;02.03.2021 13:00:00;6;33;20;60;
10;Ladri di biciclette;02.03.2021 13:00:00;02.03.2021 15:30:00;9;5;50;150;
11;Festen;02.03.2021 15:30:00;02.03.2021 18:00:00;10;32;20;150;
12;Manhattan;02.03.2021 18:00:00;02.03.2021 19:00:00;3;42;20;60;
13;Apocalypse Now;03.03.2021 08:00:00;03.03.2021 10:00:00;2;28;35;120;
14;His Girl Friday;03.03.2021 10:00:00;03.03.2021 12:30:00;6;14;20;150;
15;The Departed;03.03.2021 12:30:00;03.03.2021 15:00:00;8;42;35;150;
16;Requiem for a Dream;03.03.2021 15:00:00;03.03.2021 16:00:00;2;31;30;60;
17;Magnolia;03.03.2021 16:00:00;03.03.2021 17:00:00;10;21;35;60;
18;Kill Bill: Vol. 2;03.03.2021 17:00:00;03.03.2021 18:30:00;10;12;30;90;
19;The Third Man;04.03.2021 08:00:00;04.03.2021 10:00:00;5;35;20;120;
20;The Exorcist;04.03.2021 10:00:00;04.03.2021 12:00:00;10;3;50;120;
21;Notorious;04.03.2021 12:00:00;04.03.2021 14:00:00;6;12;50;120;
22;Ratatouille;04.03.2021 14:00:00;04.03.2021 15:00:00;2;34;50;60;
23;Festen;04.03.2021 15:00:00;04.03.2021 17:00:00;7;30;50;120;
24;A Clockwork Orange;04.03.2021 17:00:00;04.03.2021 18:00:00;8;27;35;60;
25;District 9;05.03.2021 08:00:00;05.03.2021 10:00:00;3;41;30;120;
26;Das Boot;05.03.2021 10:00:00;05.03.2021 12:30:00;1;11;35;150;
27;V for Vendetta;05.03.2021 12:30:00;05.03.2021 14:00:00;2;50;35;90;
28;The Kid;05.03.2021 14:00:00;05.03.2021 15:00:00;8;35;50;60;
29;Das Leben der Anderen;05.03.2021 15:00:00;05.03.2021 16:30:00;3;10;35;90;
30;The Social Network;05.03.2021 16:30:00;05.03.2021 18:30:00;9;49;20;120;
31;The Deer Hunter;06.03.2021 08:00:00;06.03.2021 10:30:00;5;49;50;150;
32;Annie Hall;06.03.2021 10:30:00;06.03.2021 12:00:00;8;35;30;90;
33;Million Dollar Baby;06.03.2021 12:00:00;06.03.2021 14:00:00;10;38;50;120;
34;Alien;06.03.2021 14:00:00;06.03.2021 15:00:00;7;14;20;60;
35;Pirates of the Caribbean: The Curse of the Black Pearl;06.03.2021 15:00:00;06.03.2021 16:00:00;1;24;20;60;
36;Trainspotting;06.03.2021 16:00:00;06.03.2021 18:30:00;2;18;20;150;
37;The Wild Bunch;07.03.2021 08:00:00;07.03.2021 10:30:00;2;25;50;150;
38;Rope;07.03.2021 10:30:00;07.03.2021 12:30:00;2;6;20;120;
39;Le salaire de la peur;07.03.2021 12:30:00;07.03.2021 14:30:00;1;13;30;120;
40;The Social Network;07.03.2021 14:30:00;07.03.2021 16:30:00;6;34;20;120;
41;Donnie Darko;07.03.2021 16:30:00;07.03.2021 18:30:00;7;47;50;120;
42;Rebecca;07.03.2021 18:30:00;07.03.2021 21:00:00;10;41;50;150;
